initializer_name,random_normal,random_uniform,truncated_normal,zeros,ones,glorot_normal,glorot_uniform,he_normal,he_uniform,variance_scaling
random_normal,5671,4557,5277,5005,7193,5596,5285,4921,4457,5430
random_uniform,8357,8928,7461,8322,0,7231,9023,8193,7319,8873
truncated_normal,5105,5587,6469,6648,8945,6168,5928,6507,6555,5804
zeros,0,0,0,0,0,0,0,0,0,0
ones,0,0,0,0,0,0,0,0,0,0
glorot_normal,5581,5086,6152,4524,7731,5627,6634,5570,5417,4392
glorot_uniform,5504,6442,5893,5780,6479,6582,5571,5336,5958,4757
he_normal,4679,3873,4190,3777,3944,3894,4461,4597,4600,4447
he_uniform,4296,4198,4399,3850,4369,3838,4499,4248,4317,4242
variance_scaling,5188,4979,5906,6113,5938,5851,6536,4994,5577,6071
